u_mag,g_mag,r_mag,i_mag,z_mag,redshift,petroR50_u,petroR50_r,class
15.794,15.984,16.342,16.469,16.746,0.001109,0.743,0.602,STAR
16.351,16.283,16.26,16.401,16.405,0.000321,0.469,0.535,STAR
18.288,18.95,19.001,19.473,19.497,0.038715,2.997,3.747,GALAXY
18.113,18.85,19.356,19.637,19.837,0.444349,3.336,1.326,GALAXY
17.038,17.941,18.148,18.015,18.366,0.484796,2.957,2.12,GALAXY
18.387,18.47,19.226,19.844,19.964,0.186313,2.482,1.62,GALAXY
16.189,16.194,16.2,16.359,16.466,0.000843,0.499,0.58,STAR
15.673,16.019,16.151,16.201,16.272,0.40358,0.752,1.228,QSO
18.704,18.769,19.36,20.242,20.605,0.037444,1.497,2.648,GALAXY
17.005,17.18,17.346,17.522,17.543,-0.000587,0.625,0.572,STAR
19.82,20.005,20.595,20.757,20.814,0.000885,0.498,0.43,STAR
17.293,17.947,18.311,18.527,18.911,0.194142,1.334,3.593,GALAXY
17.16,17.548,17.723,17.748,17.787,2.516659,0.871,1.558,QSO
22.274,22.993,23.0,23.54,23.624,0.518121,2.509,2.883,GALAXY
16.213,16.478,16.662,16.933,17.082,0.001318,0.459,0.571,STAR
20.201,20.08,20.177,20.555,20.633,0.00063,0.46,0.535,STAR
21.29,22.167,22.201,22.51,22.671,0.276542,1.388,0.891,GALAXY
18.428,18.862,19.565,19.584,19.737,0.167857,2.581,1.842,GALAXY
21.307,21.769,21.969,22.007,22.112,2.04811,0.457,1.463,QSO
17.237,17.177,17.344,17.496,17.635,0.373259,1.177,1.277,QSO
14.938,14.912,15.308,15.363,15.686,0.000321,0.662,0.395,STAR
18.692,19.393,19.493,19.561,19.793,0.001188,0.32,0.306,STAR
20.2,20.447,20.719,20.79,20.819,2.051218,1.101,1.048,QSO
16.56,16.88,17.393,17.478,17.51,0.001302,0.629,0.601,STAR
20.156,20.515,20.814,20.947,21.389,0.366369,3.27,3.182,GALAXY
18.168,18.392,18.722,19.029,19.059,0.001158,0.408,0.455,STAR
21.546,21.655,21.929,22.128,22.2,1.922595,0.928,1.094,QSO
17.631,17.926,18.161,18.253,18.343,0.001416,0.588,0.552,STAR
16.079,16.676,16.814,17.41,17.403,0.506752,3.274,3.233,GALAXY
19.986,20.786,21.234,21.455,21.513,0.251179,3.131,2.601,GALAXY
20.659,21.292,22.079,22.09,22.474,0.460315,3.169,3.493,GALAXY
20.198,20.636,21.277,21.553,21.693,0.08689,2.486,3.507,GALAXY
19.903,20.873,21.359,21.939,22.126,0.378287,4.402,3.409,GALAXY
18.367,18.54,18.748,18.951,18.965,0.000534,0.57,0.532,STAR
13.858,13.881,14.01,14.106,14.292,0.001692,0.654,0.615,STAR
15.489,15.835,16.024,16.219,16.27,0.001062,0.333,0.531,STAR
20.986,21.104,22.032,22.282,22.351,0.028537,2.865,1.871,GALAXY
18.343,18.338,18.703,18.634,18.896,0.367678,1.75,1.152,GALAXY
22.373,22.844,23.117,23.339,23.764,0.2893,2.598,3.242,GALAXY
15.838,16.276,16.506,16.657,16.711,0.001633,0.47,0.478,STAR
19.56,19.78,19.812,19.944,20.08,0.000993,0.542,0.487,STAR
18.821,19.351,19.577,19.523,19.606,0.001472,0.3,0.518,STAR
19.788,19.935,20.026,20.106,20.311,1.444952,0.553,0.983,QSO
21.549,21.884,22.222,22.733,22.913,0.752156,1.156,1.763,GALAXY
18.161,18.389,18.881,19.01,19.115,0.001087,0.611,0.361,STAR
17.199,17.502,17.867,18.058,18.115,0.001827,0.631,0.385,STAR
17.67,18.41,19.063,19.213,19.325,0.55956,3.729,3.391,GALAXY
18.533,18.901,19.07,19.228,19.268,1.561439,1.162,1.254,QSO
17.045,17.193,17.458,17.656,17.706,0.000795,0.441,0.387,STAR
16.774,17.059,17.131,17.322,17.411,1.824015,0.767,0.79,QSO
17.36,17.459,17.685,17.789,17.809,0.000191,0.678,0.498,STAR
18.426,18.411,18.429,18.39,18.511,1.092644,0.787,1.375,QSO
17.273,17.37,17.586,17.871,17.961,3.7e-05,0.578,0.454,STAR
18.449,18.875,19.096,19.213,19.459,0.261254,1.95,0.753,GALAXY
18.94,19.444,19.55,19.644,19.688,0.00084,0.646,0.464,STAR
22.015,22.95,23.451,23.869,24.183,0.154569,1.482,3.038,GALAXY
18.227,18.484,18.726,19.105,19.276,0.001093,0.477,0.476,STAR
17.424,18.133,18.152,18.365,18.54,0.001287,0.385,0.577,STAR
16.876,17.14,17.383,17.425,17.438,0.000346,0.434,0.453,STAR
21.573,22.359,22.983,23.195,23.71,0.336928,1.843,2.882,GALAXY
18.941,19.407,19.776,19.932,19.923,0.680767,2.527,3.045,GALAXY
20.781,21.872,22.189,22.657,22.916,0.662121,2.571,2.156,GALAXY
18.567,18.878,19.156,19.109,19.21,0.291865,3.224,3.95,GALAXY
19.345,19.454,19.855,20.281,20.482,0.258874,2.504,3.099,GALAXY
19.789,19.929,20.362,20.413,20.552,0.000779,0.47,0.478,STAR
