u_mag,g_mag,r_mag,i_mag,z_mag,redshift,petroR50_u,petroR50_r,class
19.476,19.598,19.828,20.083,20.054,0.001373,0.431,0.325,STAR
17.319,17.21,17.552,17.667,17.79,0.000659,0.212,0.518,STAR
17.584,18.026,18.158,18.233,18.286,0.001023,0.426,0.573,STAR
20.378,21.039,21.657,21.802,21.773,0.338236,3.245,1.618,GALAXY
16.114,16.146,16.217,16.15,16.166,1.391495,1.497,0.829,QSO
19.64,19.964,20.534,20.648,20.887,0.485838,2.61,3.088,GALAXY
16.918,18.035,18.495,18.958,19.033,0.450321,2.789,3.598,GALAXY
19.657,19.952,20.186,20.702,20.791,0.577743,1.347,2.305,GALAXY
16.951,16.954,17.097,17.202,17.229,2.939187,1.102,1.11,QSO
18.698,19.049,19.183,19.614,19.662,0.325775,2.378,1.488,GALAXY
18.298,18.822,19.454,19.863,19.939,0.589646,2.988,3.265,GALAXY
15.999,16.008,16.238,16.385,16.445,1.677665,1.5,1.041,QSO
16.853,16.745,16.956,16.924,17.0,1.426431,0.65,0.721,QSO
20.362,20.835,21.236,21.795,22.342,0.225826,2.339,1.451,GALAXY
16.02,16.085,16.636,16.844,16.969,0.000741,0.612,0.523,STAR
20.869,20.87,21.319,21.408,21.835,0.542527,2.687,4.107,GALAXY
20.219,20.618,20.825,20.827,20.922,1.680458,0.654,0.734,QSO
20.536,20.5,20.708,20.747,20.845,1.3515,0.246,0.787,QSO
19.163,19.615,19.773,19.962,20.117,0.000584,0.384,0.369,STAR
22.097,22.431,22.599,22.687,22.752,0.908095,1.269,0.355,QSO
14.675,14.78,14.797,15.195,15.433,-0.168658,2.186,3.588,GALAXY
21.412,22.216,22.669,22.991,23.151,0.713497,3.358,2.542,GALAXY
20.223,20.663,21.305,21.589,21.835,0.248026,1.923,2.582,GALAXY
15.598,16.411,16.619,16.698,16.815,0.416203,2.06,3.727,GALAXY
18.507,18.62,18.726,18.875,18.945,1.521295,1.158,1.052,QSO
17.537,17.875,18.091,18.185,18.389,0.000386,0.466,0.487,STAR
18.65,18.747,18.906,18.99,19.101,0.000747,0.429,0.544,STAR
19.807,20.635,21.179,21.632,21.727,0.630814,2.619,2.198,GALAXY
19.555,19.776,19.833,19.975,20.143,2.787016,1.293,1.154,QSO
19.127,19.787,20.11,20.161,20.238,0.000222,0.823,0.377,STAR
14.552,14.89,14.814,14.995,14.999,0.000933,0.57,0.358,STAR
14.899,15.497,15.894,16.316,16.384,0.107902,2.675,0.603,GALAXY
21.865,21.967,22.234,22.426,22.583,-0.185539,2.876,3.14,GALAXY
20.712,20.991,21.612,21.751,21.875,0.206096,2.914,1.355,GALAXY
18.069,19.105,19.508,20.121,19.887,0.205538,3.293,2.871,GALAXY
19.256,19.268,19.317,19.363,19.396,1.058807,1.779,0.64,QSO
23.216,23.253,23.381,23.356,23.412,0.527629,0.561,0.761,QSO
19.277,19.409,19.736,20.01,20.265,0.621849,4.047,2.594,GALAXY
17.867,18.523,19.184,19.402,19.48,0.653925,4.389,3.02,GALAXY
17.982,18.261,18.542,18.669,18.826,0.000188,0.613,0.375,STAR
20.272,20.545,21.14,21.416,21.754,-0.146581,2.167,1.605,GALAXY
18.063,19.007,19.367,19.813,19.895,0.388234,2.338,1.924,GALAXY
19.218,19.836,20.092,20.056,20.13,0.002131,0.576,0.46,STAR
18.58,19.896,20.667,21.16,21.426,0.233453,3.36,2.879,GALAXY
16.979,17.268,17.595,17.766,17.835,0.00126,0.502,0.423,STAR
16.696,16.819,17.048,17.19,17.292,0.002055,0.345,0.474,STAR
17.82,18.055,18.341,18.302,18.447,0.001026,0.34,0.384,STAR
21.829,22.241,22.216,22.591,22.697,0.342689,2.703,-0.117,GALAXY
17.901,18.331,18.659,18.856,19.066,0.000367,0.517,0.402,STAR
17.474,17.474,17.566,17.611,17.626,0.0016,0.674,0.699,STAR
17.329,17.935,18.093,18.155,18.173,1.021815,1.068,1.437,QSO
18.609,19.031,19.425,19.406,19.371,0.000365,0.468,0.482,STAR
18.653,18.979,19.271,19.28,19.46,0.000787,0.437,0.51,STAR
17.059,17.397,17.462,17.436,17.433,0.000734,0.503,0.47,STAR
17.335,18.357,18.748,18.819,19.022,0.716474,2.069,2.907,GALAXY
16.534,16.999,17.268,17.331,17.384,0.00052,0.512,0.66,STAR
18.99,19.251,19.346,19.729,20.073,0.188739,1.029,2.518,GALAXY
21.976,22.437,23.144,23.429,23.389,0.392863,3.19,1.538,GALAXY
19.639,19.628,19.754,19.848,19.927,0.343261,0.788,1.852,QSO
14.985,15.311,15.734,15.927,16.055,0.001345,0.478,0.51,STAR
21.398,22.005,21.958,22.135,22.233,0.48857,2.884,3.094,GALAXY
18.144,18.812,19.066,19.25,19.353,0.001333,0.544,0.504,STAR
14.065,14.234,14.291,14.754,15.072,0.363817,2.313,2.792,GALAXY
17.642,18.202,18.345,18.653,18.787,0.000942,0.487,0.534,STAR
19.776,19.827,19.762,20.001,20.158,0.000988,0.424,0.458,STAR
18.682,18.94,19.32,19.333,19.4,0.354327,2.684,2.632,GALAXY
15.729,16.158,16.55,16.666,16.771,0.001109,0.447,0.619,STAR
18.445,18.787,19.181,19.306,19.049,0.195786,3.096,2.097,GALAXY
20.891,21.17,21.247,21.52,21.581,0.000373,0.621,0.43,STAR
17.555,18.529,19.062,19.339,19.674,0.682093,3.458,1.487,GALAXY
16.507,17.11,17.252,17.449,17.63,0.000485,0.595,0.5,STAR
17.466,17.989,18.242,18.458,18.547,0.000869,0.408,0.668,STAR
19.871,20.139,20.422,20.951,21.424,-0.079426,1.763,1.881,GALAXY
18.767,19.297,19.665,19.334,19.369,0.093189,3.915,3.317,GALAXY
13.849,13.837,13.998,14.23,14.391,0.696445,1.078,0.901,QSO
16.574,16.476,16.734,17.187,17.144,0.614318,1.94,3.124,GALAXY
17.206,17.559,17.874,17.957,18.141,0.000717,0.576,0.699,STAR
17.576,17.862,17.817,18.032,18.211,0.001032,0.626,0.557,STAR
17.56,18.446,19.026,19.433,19.805,0.093604,3.48,1.731,GALAXY
17.625,17.987,18.52,18.691,18.88,0.623694,1.756,3.379,GALAXY
18.222,18.314,18.445,18.539,18.595,0.001444,0.675,0.43,STAR
22.735,23.189,23.659,24.039,24.32,0.454857,1.587,4.093,GALAXY
20.175,20.724,20.826,20.846,21.275,0.141433,1.84,2.998,GALAXY
18.974,19.628,19.993,20.517,20.603,0.549517,2.107,2.626,GALAXY
21.848,22.648,23.403,23.548,23.905,0.314205,1.832,2.403,GALAXY
19.058,19.336,19.778,19.932,19.873,0.001399,0.362,0.555,STAR
15.378,15.657,16.006,16.0,16.052,1.356587,1.203,0.638,QSO
21.397,21.948,22.703,22.912,23.031,0.526581,3.046,2.469,GALAXY
16.713,16.963,17.002,17.134,17.2,0.638652,1.197,0.908,QSO
14.954,15.182,15.521,15.785,15.923,0.001977,0.739,0.679,STAR
21.959,22.332,22.397,22.571,22.624,1.25204,1.251,1.367,QSO
22.89,22.965,23.331,23.879,24.155,0.492755,2.251,2.212,GALAXY
18.461,18.64,18.8,19.173,19.254,0.001613,0.509,0.419,STAR
17.913,18.221,18.481,18.648,18.859,0.001265,0.514,0.489,STAR
17.216,17.428,17.491,17.597,17.688,0.001176,0.646,0.567,STAR
18.867,18.858,18.883,19.128,19.123,6.4e-05,0.668,0.321,STAR
16.666,16.937,17.546,18.122,18.12,-0.031119,2.508,2.258,GALAXY
17.101,17.575,18.405,18.531,18.644,0.19286,3.397,1.385,GALAXY
15.61,16.901,16.705,16.858,16.958,0.544816,2.793,3.421,GALAXY
18.083,18.856,19.555,19.719,19.861,0.056423,2.086,1.241,GALAXY
18.885,19.273,19.46,19.565,19.61,0.960908,1.019,0.916,QSO
20.17,20.709,20.978,21.541,21.589,0.431826,3.111,1.946,GALAXY
15.571,16.172,16.515,16.763,16.866,0.000999,0.384,0.499,STAR
18.77,18.943,19.126,19.222,19.256,1.434524,0.565,1.0,QSO
19.798,20.15,20.595,20.88,20.96,0.001678,0.4,0.475,STAR
19.057,19.804,20.188,20.162,20.23,0.001349,0.459,0.513,STAR
16.848,17.286,17.755,18.078,18.314,0.000606,0.201,0.619,STAR
20.717,21.52,21.866,22.264,22.652,0.170759,2.454,2.012,GALAXY
20.317,20.692,21.134,21.817,21.935,0.119733,2.86,2.05,GALAXY
18.047,18.187,18.47,18.64,18.742,2.344013,1.359,0.461,QSO
18.573,18.998,19.144,19.114,19.202,1.32574,1.071,1.068,QSO
19.741,19.621,20.162,20.59,20.902,0.051231,0.316,3.224,GALAXY
17.42,18.109,18.312,18.459,18.538,0.001301,0.469,0.545,STAR
16.353,16.963,17.182,17.304,17.433,9.1e-05,0.413,0.246,STAR
16.786,16.91,17.212,17.446,17.586,0.000671,0.632,0.336,STAR
17.294,17.402,17.719,17.863,17.879,0.610882,1.377,0.899,QSO
18.371,18.939,19.201,19.374,19.554,0.000593,0.413,0.417,STAR
