u,g,r,i,z,redshift,temperature,logg,metallicity,class
18.32922,17.94793,19.17964,19.0938,19.01641,0.95342,5546.97886,5.24869,-0.11871,QSO
21.01411,19.99623,18.64967,19.34112,18.50724,0.06423,4471.72465,3.27777,-0.18995,GALAXY
20.24765,20.78102,19.22409,19.13931,18.75748,1.80435,6511.79187,2.81964,-0.39178,QSO
17.67031,17.61446,17.0686,15.68699,15.8162,0.07387,6783.12066,4.01334,0.04762,STAR
20.37924,19.81308,19.9108,19.16701,18.62161,0.27431,5652.34008,3.05018,-0.54286,GALAXY
21.34291,20.86904,19.96183,19.6632,20.09433,0.11926,5953.44876,3.35426,0.21243,GALAXY
18.17177,17.80549,16.91104,15.8136,16.75704,0.06708,2554.55795,4.03863,-0.33556,STAR
18.53488,19.50361,18.16683,17.07652,18.2089,0.07796,8117.03841,3.5401,-0.32445,QSO
18.9426,18.02919,20.28084,17.875,18.06148,0.5901,9821.60892,4.54776,0.2196,QSO
21.70086,19.27347,18.57342,16.47407,19.8152,0.64561,10072.52793,2.94372,-0.92618,QSO
19.47639,16.91679,17.37943,16.8147,15.88818,0.07341,5570.67815,4.71718,0.27736,STAR
19.82138,19.34618,19.39978,18.76917,18.91172,0.02488,4361.43313,4.43586,-0.51168,GALAXY
21.31571,20.45528,18.89132,18.9614,18.0921,0.29099,3906.21842,3.46074,0.0888,GALAXY
18.32731,16.90779,16.38566,17.67973,16.59377,0.01609,6611.60021,4.27703,-0.64887,STAR
20.99265,19.31744,18.76643,19.47452,17.24353,1.45265,10617.04916,4.55592,0.41175,QSO
22.37718,20.36526,19.02119,18.2515,19.22509,0.25563,5804.29141,3.76097,-0.74363,GALAXY
20.42082,17.82178,18.48455,18.75039,18.20798,2.11433,9936.56452,4.75238,-0.27538,QSO
18.08667,18.14992,16.0245,16.60187,16.94043,0.15592,4827.66265,4.19322,0.43982,STAR
20.5355,19.81775,20.14438,19.22529,18.32092,0.17262,6065.66527,2.9264,-0.32969,GALAXY
19.67429,19.09072,17.65534,18.60985,19.44895,1.83941,9610.14556,5.04735,-0.53288,QSO
20.52898,19.58063,19.38467,19.1737,18.93602,0.00813,7284.46017,3.4603,-0.50153,GALAXY
17.46316,17.58425,17.85836,16.12725,17.72406,0.04553,4762.90242,4.04755,0.12256,STAR
17.19972,17.78117,17.14002,16.12386,16.8557,0.09176,4526.59852,3.67327,-0.32024,STAR
21.60015,19.99528,19.8103,20.96834,19.5506,0.04841,3743.116,3.34596,0.38164,GALAXY
19.03143,19.60536,19.1832,16.92174,19.14081,0.30318,5245.59817,3.23996,-0.63566,QSO
19.66934,20.6657,19.49162,18.51217,19.05437,0.42818,5527.42523,3.11401,-0.30503,GALAXY
19.40943,20.233,19.41674,16.92994,18.10637,0.72003,9550.39607,2.77467,-0.15869,QSO
17.89889,17.91138,17.19526,16.92231,15.38131,0.08161,7541.17708,4.21533,0.0488,STAR
20.7757,19.47512,19.64462,18.50732,18.65961,0.33325,5834.97443,2.95544,0.12709,GALAXY
18.23451,20.85955,19.79906,17.03072,18.59469,0.99845,8580.33404,4.99906,-0.07275,QSO
18.41434,18.16626,15.85385,16.1125,15.812,0.04298,5329.93971,3.65168,-0.42448,STAR
18.27485,17.56258,16.86146,16.46788,17.27088,0.10323,7674.49935,3.65264,-0.02044,STAR
17.47522,17.05857,15.77121,17.3839,16.18048,0.03856,6181.74894,4.65068,0.18368,STAR
19.27635,19.60981,20.23142,18.33431,18.12433,1.19313,5866.42347,4.23944,-0.0479,QSO
21.52398,21.27963,19.33186,19.63809,18.56348,0.03858,4160.0256,4.27305,0.13884,GALAXY
19.17446,18.71912,19.43985,20.6653,17.96901,1.0167,8278.85101,3.75087,-0.57257,QSO
18.69593,18.79772,18.14659,19.74871,20.3506,1.70831,7414.70456,4.60108,0.8,QSO
21.55867,20.01698,19.38838,18.83902,17.99561,0.095,6015.61292,3.12114,-0.16583,GALAXY
18.63331,18.52508,18.31652,17.6977,18.44971,2.27703,9826.31203,4.72693,0.18387,QSO
18.8634,17.80735,17.06497,16.71219,16.66721,0.01008,7333.1647,4.47809,0.34576,STAR
18.97215,17.76648,17.22383,17.78943,16.27917,0.02648,4498.00496,3.56653,0.15185,STAR
17.33036,18.18617,17.24031,16.5595,16.03564,0.01732,6715.87707,4.61925,-0.06586,STAR
21.19139,20.36546,20.04623,19.23822,18.90138,0.10836,5169.5273,3.18163,-0.19416,GALAXY
18.90002,18.80548,18.5397,18.20945,19.33686,0.44057,4803.21379,4.79304,0.07946,QSO
16.78635,18.46707,16.82845,17.11831,16.91509,0.12468,4460.20409,3.7511,0.26128,STAR
18.88446,17.9197,16.78954,15.98787,16.69035,0.06858,3997.8141,4.45629,0.18611,STAR
21.96535,20.29966,20.46729,17.54436,19.81931,0.4439,5940.29916,3.72863,0.07623,GALAXY
18.35086,17.35414,16.13447,16.67638,15.54414,0.2334,4413.67028,4.13246,-0.26172,STAR
20.69337,19.78901,19.22922,18.66299,18.07946,0.3884,3841.78553,4.01989,-1.22532,GALAXY
17.47651,17.38961,16.65723,17.20273,15.37817,0.0469,5435.24864,4.01678,-0.03964,STAR
19.86112,19.30538,18.44448,18.09925,18.69181,2.11519,8154.36789,3.12981,-0.06348,QSO
17.61965,16.75582,16.91273,17.03673,16.65951,0.01827,5791.81864,4.73756,0.14577,STAR
20.48737,20.91919,19.77172,20.07755,19.36023,0.18034,5834.52048,3.51639,-0.65493,GALAXY
21.08216,19.04703,19.66716,19.02888,18.349,0.22564,4529.87056,2.89921,0.38479,GALAXY
18.88953,20.19086,18.92013,18.54271,18.84866,1.7059,6873.16708,2.78618,0.10586,QSO
18.78166,18.12464,16.6752,15.70919,16.56968,0.01011,5209.47311,3.54994,0.26123,STAR
17.77017,18.25305,17.77197,19.19471,19.05543,1.30528,5168.98824,3.80586,0.59637,QSO
19.88908,17.99818,19.11224,19.28356,18.33874,0.4759,6045.36543,4.24388,-0.04694,QSO
21.48406,19.51889,18.08041,20.3569,19.76883,0.10377,4839.53879,4.64748,0.19937,GALAXY
18.06233,16.83187,17.32865,16.59559,15.81122,0.03958,3405.93871,4.08778,-0.65505,STAR
21.1314,21.07304,19.34215,19.70564,17.73468,0.11901,3796.25985,2.40021,-0.76948,GALAXY
18.17439,18.00453,17.22757,15.91605,16.39279,0.0317,4659.97137,4.29018,-0.56041,STAR
18.90943,16.73674,16.7813,16.58293,16.82812,0.13789,6451.78861,4.90498,0.06605,STAR
