u,g,r,i,z,redshift,temperature,logg,metallicity,class
21.4329,20.08008,18.95741,18.66959,17.75337,0.07052,3934.67832,2.46468,-0.77339,GALAXY
20.63692,21.62478,19.65819,19.08676,18.76357,0.13055,6054.10127,2.6113,-1.15598,GALAXY
18.14593,18.65544,20.73962,19.13117,18.81261,0.69361,7707.94633,2.91512,0.05388,QSO
19.11351,16.75747,16.64304,16.10172,17.09442,0.14391,5365.55529,3.58957,-0.24694,STAR
18.98276,16.36998,17.01824,15.46297,16.05987,0.18695,6403.71046,4.20165,0.22421,STAR
17.07402,18.1368,17.57513,16.77776,14.98997,0.03875,8650.6958,4.78753,-0.47797,STAR
18.20051,17.56992,16.52598,15.9422,15.10221,0.23728,2500,5.27251,0.54279,STAR
19.65785,17.68304,17.14762,16.90214,17.17689,0.18605,3560.09861,5.30446,0.05995,STAR
19.25855,17.93872,17.67808,17.02842,17.29704,0.16518,7096.37735,4.44459,0.12802,STAR
19.18618,16.9606,16.56229,16.30243,16.50063,0.00229,4858.82762,4.28553,0.00175,STAR
17.60643,17.79481,17.42207,17.44969,15.94589,0.05455,3600.53873,4.78072,-0.23262,STAR
17.27495,17.31909,16.80545,17.30424,15.5151,0.22807,3098.20654,5.35909,-0.42664,STAR
21.09821,19.97297,19.52901,18.93525,19.84632,0.12929,4985.25575,4.82744,-0.0617,GALAXY
19.01329,18.65818,17.97967,15.68739,17.52355,0.15052,8658.55632,3.91461,0.13649,STAR
18.48698,19.25535,21.13838,18.74774,18.42675,1.14233,8520.32897,4.39209,-0.25763,QSO
21.70371,20.81984,19.41257,18.1397,18.91009,0.36984,5055.57423,3.61521,0.20044,GALAXY
18.31193,18.85285,17.68231,17.93379,19.2301,2.21217,11347.7738,4.21837,-0.38675,QSO
21.051,19.48306,19.76768,19.90836,18.99692,0.09798,3466.99287,2.86406,0.09105,GALAXY
20.66835,18.14886,17.82376,18.80253,18.93371,1.25777,8948.8111,2.92665,0.34399,QSO
19.50756,20.28009,19.17949,19.42885,19.64189,0.31442,5098.16628,2.55718,-0.38385,GALAXY
18.07464,16.67773,16.96719,17.26043,16.93957,0.34166,3134.08305,4.08866,0.05324,STAR
20.35145,20.01582,19.67248,19.27168,20.07046,0.25253,5145.71177,3.55968,-0.71335,GALAXY
19.60147,20.64336,20.35703,19.0702,18.44019,0.06935,5884.45585,3.24999,-0.76862,GALAXY
18.96221,17.77065,16.32069,17.38572,16.312,0.35075,7102.27314,4.55157,0.31499,STAR
19.5114,19.38207,16.49965,15.76631,16.91163,0.03681,8953.1392,4.23067,-0.16279,STAR
17.4672,18.48543,17.30419,16.82597,16.19819,0.14087,5286.14709,3.92646,0.13901,STAR
21.94022,20.37206,19.58718,18.48937,17.67097,0.31107,4893.88766,4.05922,0.03073,GALAXY
19.2643,19.99742,19.20663,20.10582,18.88252,1.26688,4553.65577,1.9443,-0.67379,QSO
20.42314,19.17853,19.39296,19.49747,19.25728,0.12468,5089.54492,2.75567,-0.59162,GALAXY
17.3815,16.78458,17.13572,15.49134,16.62425,0.28332,4722.03683,3.93002,0.04672,STAR
18.82523,17.17827,16.57854,16.86425,16.4191,0.27036,7633.28453,4.39569,-0.12758,STAR
